Paper, Gen-CutOff, OBC-CutOff, SC/ST/PwD-CutOff, GATEScore(GEN), GATEScore(OBC), GATEScore(SC/ST/PwD), Gen-CutOff(Raw), OBC-CutOff(RaW), SC/ST/PwD-CutOff(RaW), GATEScore(GEN), GATEScore(OBC), GATEScore(SC/ST/PwD)
AR, 35.1, 31.5, 23.4, 349, 289, 155 , 35.16529901797646, 31.648769116178812, 23.44353267865097, 350, 292, 156
BT, 37.4, 33.6, 24.9 ,349, 295, 173, 37.492421731634835, 33.743179558471354, 24.994947821089887 , 350, 297, 174
CH, 44.3, 39.8, 29.5 ,350, 292, 159, 44.300270816326346, 39.870243734693716, 29.533513877550895 , 350, 293, 160
CY, 25.0, 22.5, 16.6 ,350, 312, 221, 25.0, 22.5, 16.666666666666664 , 350, 312, 222 
EC, 25.0, 22.5, 16.6 ,350, 319, 245, 25.0, 22.5, 16.666666666666664 , 350, 319, 246
GG, 33.3, 29.9, 22.1 ,350, 300, 187, 33.33102714194684, 29.997924427752157, 22.220684761297893 , 350, 302, 189
IN, 34.0, 30.6, 22.6 ,350, 311, 221, 34.0353190939371, 30.631787184543388, 22.690212729291396 , 350, 312, 222
MA, 25.0, 22.5, 16.6 ,350, 302, 188, 25.0, 22.5, 16.666666666666664 , 350, 302, 189
ME, 30.6, 27.5, 20.4 ,350, 318, 245, 30.60124443167725, 27.54111998850953, 20.400829621118167 , 350, 318, 245
MN, 30.8, 27.7, 20.5 ,350, 294, 164, 30.824239782182083, 27.741815803963874, 20.54949318812139 , 350, 295, 165
PE, 50.8, 45.7, 33.8 ,349, 259, 49, 50.88061522911269, 45.792553706201424, 33.920410152741795 , 350, 260, 52
PH, 28.6, 25.7, 19.0 ,349, 307, 211, 28.692718262092292, 25.823446435883064, 19.12847884139486 , 350, 309, 213
AE, 25.0, 22.5, 16.6 ,350, 308, 210, 25.0, 22.5, 16.666666666666664 , 350, 308, 211
AG, 25.0, 22.5, 16.6 ,350, 303, 194, 25.0, 22.5, 16.666666666666664 , 350, 303, 195
CS, 25.0, 22.5, 16.6 ,350, 322, 256, 25.0, 22.5, 16.666666666666664 , 350, 322, 256
CE, 25.8, 23.2, 17.2 ,349, 321, 257, 25.870939335219212, 23.283845401697292, 17.24729289014614 , 350, 322, 258
EE, 25.0, 22.5, 16.6 ,350, 319, 245, 25.0, 22.5, 16.666666666666664 , 350, 319, 246
EY, 35.9, 32.3, 23.9 ,350, 277, 108, 35.915844934234876, 32.324260440811386, 23.94389662282325 , 350, 278, 109
MT, 35.3, 31.7, 23.5 ,349, 292, 164, 35.388581265974466, 31.84972313937702, 23.592387510649644 , 350, 295, 166
PI, 33.0, 29.7, 22.0 ,349, 305, 204, 33.06900765661565, 29.76210689095409, 22.046005104410433 , 350, 306, 204
TF, 32.2, 28.9, 21.4 ,350, 277, 113, 32.2092179761368, 28.988296178523118, 21.472811984091198 , 350, 279, 114
XE, 30.3, 27.2, 20.2 ,349, 303, 198, 30.37737164105528, 27.33963447694975, 20.25158109403685 , 350, 305, 199
XL, 32.6, 29.3, 21.7 ,349, 288, 147, 32.65796595262264, 29.392169357360377, 21.771977301748425 , 350, 289, 148
